journey,date,schedule_start,start,start_point,destination,transport,schedule_min,duration_min,line,schedule_arrival
0,2026-06-11,12:09,12:09,Riethmüllerhaus,Stuttgart Hbf,U-Bahn,11,11,U12,
0,2026-06-11,13:04,13:04,Stuttgart Hbf,Pragsattel,U-Bahn,6,6,U6,
0,2026-06-11,14:42,14:42,Maybachstraße,Glockenstraße,U-Bahn,5,5,U13,
1,2026-06-07,17:25,17:25,Münster Hbf,Essen Hbf,Nahverkehr,53,54,RE2,
2,2026-06-07,18:36,18:43,Essen Hbf,Frankfurt Flughafen,DB Fern,103,153,ICE 1015,
2,2026-06-07,21:02,21:20,Frankfurt Flughafen,Frankfurt Hbf,DB Fern,11,11,ICE 889,
3,2026-06-07,21:20,21:45,Frankfurt Hbf,Stuttgart Hbf,DB Fern,118,113,ICE 775,21:11
1,2026-06-13,09:06,09:07,Riethmüllerhaus,Dobelstraße,U-Bahn,16,17,U12,
3,2026-06-13,09:35,09:35,Dobelstraße,Waldau,U-Bahn,5,5,U7,
1,2026-06-14,00:17,00:17,Waldau,Stuttgart Hbf,U-Bahn,10,10,U7,
3,2026-06-14,00:31,00:31,Stuttgart Hbf,Riethmüllerhaus,U-Bahn,10,10,U12,
0,2026-06-14,08:21,08:21,Riethmüllerhaus,Weinsteige,U-Bahn,20,20,U12,
1,2026-06-14,16:12,16:13,Waldau,Stuttgart Hbf,U-Bahn,12,13,U7,
3,2026-06-14,16:26,16:26,Stuttgart Hbf,Riethmüllerhaus,U-Bahn,10,10,U12,
0,2026-06-15,07:47,07:47,Glockenstraße,Maybachstraße,U-Bahn,6,7,U16,
0,2026-06-15,09:12,09:12,Maybachstraße,Glockenstraße,U-Bahn,5,5,U13,
0,2026-06-15,12:49,12:48,Riethmüllerhaus,Stuttgart Hbf,U-Bahn,11,12,U12,
0,2026-06-15,13:26,13:26,Stuttgart Hbf,"Remseck, Neckargröningen",U-Bahn,27,27,U12,
0,2026-06-15,14:53,14:53,"Remseck, Neckargröningen",Riethmüllerhaus,U-Bahn,15,15,U12,
1,2026-06-15,17:09,17:08,Riethmüllerhaus,Dobelstraße,U-Bahn,18,18,U12,
3,2026-06-15,17:35,17:36,Dobelstraße,Waldau,U-Bahn,4,4,U7,
1,2026-06-15,20:32,20:32,Waldau,Stuttgart Hbf,U-Bahn,12,12,U7,
3,2026-06-15,20:46,20:49,Stuttgart Hbf,Riethmüllerhaus,U-Bahn,10,10,U12,
1,2026-06-16,10:59,11:00,Riethmüllerhaus,Nordbahnhof,U-Bahn,4,4,U12,
2,2026-06-16,10:54,11:08,Nordbahnhof,Stuttgart Hbf,S-Bahn,3,4,S6,
3,2026-06-16,10:10,11:16,Stuttgart Hbf,Universität,S-Bahn,10,9,S2,
0,2026-06-16,17:24,17:27,Universität,Schwabstraße,S-Bahn,6,5,S2,
0,2026-06-16,17:50,18:07,Schwabstraße,Kirchheim,S-Bahn,49,59,S1,
1,2026-06-16,22:52,23:07,Kirchheim,Wendlingen,Bus,18,20,SEV,
2,2026-06-17,23:41,23:41,Wendlingen,Bad-Cannstatt,Nahverkehr,21,28,MEX12,
3,2026-06-17,00:12,00:12,Bad-Cannstatt,Glockenstraße,U-Bahn,6,6,U13,
1,2026-06-18,11:39,11:41,Riethmüllerhaus,Nordbahnhof,U-Bahn,4,4,U12,
2,2026-06-18,11:49,11:48,Nordbahnhof,Stuttgart Hbf,S-Bahn,3,4,S5,
3,2026-06-18,11:55,11:55,Stuttgart Hbf,Universität,S-Bahn,10,11,S3,
1,2026-06-18,19:04,19:04,Universität,Stuttgart Hbf,S-Bahn,11,12,S3,
